Epoch,mAP@50,mAP@50:95,Precision,Recall,F1-Score
0,0.9465,0.7166,0.9222,0.9061,0.914
1,0.9583,0.7393,0.9268,0.9252,0.926
2,0.9586,0.7467,0.9325,0.9185,0.9255
3,0.959,0.7526,0.9577,0.9003,0.928
4,0.9592,0.755,0.9479,0.9077,0.9274
5,0.9648,0.7595,0.951,0.9185,0.9345
6,0.9702,0.761,0.9545,0.9335,0.9438
7,0.9665,0.7559,0.9407,0.9368,0.9388
8,0.9641,0.7529,0.9465,0.9393,0.9429
9,0.9672,0.7552,0.956,0.9385,0.9471
10,0.9683,0.7586,0.9432,0.9385,0.9408
11,0.9692,0.7577,0.9583,0.9343,0.9461
12,0.967,0.7602,0.958,0.9293,0.9435
13,0.968,0.7617,0.9521,0.941,0.9465
14,0.9662,0.7594,0.9562,0.926,0.9409
15,0.9644,0.7592,0.9447,0.9377,0.9412
16,0.9653,0.7617,0.9628,0.9202,0.9409
